Company,Job Name,Job Posting,Location,Salary ,Part/Fulltime
Confidential,UI Designer,http://www.techcareers.com/jobs/ui-designer-new-york-ny-96094547-job.html,"New York, NY US",-,-
Apex Systems,UI Developer,http://jobview.monster.com/getjob.aspx?JobID=124032114&JDNJobDocument.JobID=72208056&AdID=10826495&ImpressionGuid=8c90da7c-02e3-4a51-89be-3c61f155aab0&AffiliateGuid=e20ba2e0-de6f-4ffc-8ae3-e1618b692120&CampaignID=&Premium=&RendererID=699&code=&unit=&stracking=&WT.mc_n=JDN000003,"New York, NY",-,fulltime or temp
On Deck ,UX/UI Designer ,http://www.dice.com/jobsearch/servlet/JobSearch?op=302&dockey=xml/3/b/3bd953df46b63dd1fe767e94fa0fb53c@endecaindex&source=19&FREE_TEXT=design%20start%20up%20&rating=&src=19&q=design%20start%20up,"New York, NY ","100,000-125,000",fulltime
CyberCoders,UI Engineer,http://www.dice.com/job/result/cybercod/VT1-UINYC?src=19&q=design%20start%20up,"New York, NY", $60.00 - $100.00  ,fulltime
VDart inc,WEB / Visual Designer,http://www.dice.com/job/result/10330808/241811?src=19&q=marketing%20start%20up,"New York, NY",negotiable ,fulltime
TechJobsConfidential@gmail.com (email this address because it is a confedential company?),Web Designer ,http://jobview.monster.com/getjob.aspx?JobID=123843467&JDNJobDocument.JobID=72021721&AdID=10755803&ImpressionGuid=7fc5d1ec-cc26-46bd-a4a1-6e3429bafeaf&AffiliateGuid=e20ba2e0-de6f-4ffc-8ae3-e1618b692120&CampaignID=&Premium=&RendererID=699&code=&unit=&stracking=&WT.mc_n=JDN000003,"Long Island, NY",-,fulltime
Wunderland,Web Designer ,http://www.glassdoor.com/job-listing/job.htm?jl=677606927&utm_source=beyond&utm_medium=cpc&utm_campaign=beyond-up&paoIdKey=MTA=," White Plains, NY",-,fulltime
Sophelle,Web Producer,http://www.dice.com/job/result/10114297/228514?src=19&q=marketing%20start%20up,"New York, NY",-,fulltime
Nexage,Java Engineer,http://www.dice.com/job/result/10406505/wspos215423?src=19&q=start%20up%20marketing,"Boston, MA",-,Fulltime
Talener,LAMP Web Engineer,http://www.dice.com/jobsearch/servlet/JobSearch?op=302&dockey=xml/5/5/553fece15741bf87f99790873976d518@endecaindex&source=19&FREE_TEXT=marketing%20start%20up%20&rating=&src=19&q=start%20up%20marketing,"Boston, MA",$70000,Fulltime
TreeTop Technologies,Pre-Sales Engineer,http://www.dice.com/jobsearch/servlet/JobSearch?op=302&dockey=xml/8/0/803c397974f41a01d581c90d5ab0e075@endecaindex&source=19&FREE_TEXT=marketing%20start%20up%20&rating=&src=19&q=start%20up%20marketing,"Boston, MA",$80-120K,Fulltime
CyberCoders,"Animator - Graphic Design, Motion Graphic Animation, After Effec",http://www.dice.com/job/result/cybercod/WP-Animator1?src=19&q=marketing%20start%20up,"Manhattan, NY ","$50,000 - $70,000  ",fulltime
CyberCoders,Front End Web Developer,http://www.cybercoders.com/frontend-web-developer-job-110845,"Wayland, MA",$80k - $100k,Fulltime
CyberCoders,Front-End Web Developer,http://www.cybercoders.com/front-end-web-developer-job-121943,"Boston, MA", $65k - $110k,Fulltime
CyberCoders,Web Designer ,http://www.cybercoders.com/web-designer-job-112313,"Boston, MA",-,Fulltime
Comfi,Product Development Manager Mobile APP,http://jobview.monster.com/Product-Development-Manager-Mobile-APP-aggressive-startup-Job-Wellesley-MA-US-123994378.aspx?WT.mc_n=SimplyHired_US,"Boston, MA",$75k-$125k depending on experience,Fulltime
Parelastic,UI Developer,http://www.parelastic.com/ui-developer,"Cambridge, MA",-,fulltime
BitSight,Product Manager,http://www.bitsighttech.com/careers.html,"Cambridge, MA",-,Fulltime
Activate Networks,Product Manager,http://www.activatenetworks.net/assets/Uploads/Career-Job-Postings/Activate-Networks-Product-Management-Job-Description-6_2013.pdf,"Newton, MA",-,Fulltime
WordStream,Senior UX designer,http://www.wordstream.com/jobs/sr-ux-designer,"Boston, MA",-,Fulltime
tivli,UI/UX Software Engineer,http://tivli.com/jobs#jrsoftware,"Boston, MA",-,fulltime
